No,Nama Lengkap,Prodi,Jenis Kelamin,Jarak Tempat Tinggal kesekolah(Km),Asal Sekolah,Tahun Lulus,SKS,Ikut Organisasi,Ikut UKM,IPK,Pekerjaan Orang Tua,Penghasilan,Tanggungan,Status Beasiswa,Status_KIP,Status_PKH
125.0,SELARAS ROYAN SARI,DIII Kebidanan | Reguler,P,Dekat,SMA PERSADA BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,3.46,PNS,Tinggi,2.0,Tidak,Tidak,Tidak
126.0,DINI KANIA,DIII Kebidanan | Reguler,P,Dekat,SMK N 7 BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,2.96,PNS,Sedang,2.0,Tidak,Tidak,Ya
127.0,VITA HANDAYANI,DIII Kebidanan | Reguler,P,Dekat,SMA NEGERI 1 KALIANDA,2020.0,19.0,Tidak,Ikut,3.18,Petani,Tinggi,2.0,Tidak,Ya,Ya
128.0,SEPTI DIAN SAPUTRI,DIII Kebidanan | Reguler,P,Dekat,SMA NEGERI 1 KOTA AGUNG,2020.0,19.0,Tidak,Ikut,3.28,Petani,Sedang,2.0,Tidak,Tidak,Tidak
129.0,RANDA MULYO JATI,DIII Kebidanan | Reguler,L,Dekat,MAN 1 PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.13,Petani,Rendah,1.0,Tidak,Tidak,Ya
130.0,SRI AGUS SETIYOWATI,DIII Kebidanan | Reguler,P,Dekat,SMA N 16 BANDAR LAMPUNG,2020.0,19.0,Ikut,Ikut,3.86,Nelayan,Rendah,3.0,Terima,Tidak,Ya
131.0,MAULIDDIAH WULANDARI,DIII Kebidanan | Reguler,P,Dekat,SMK NEGERI 2 METRO,2020.0,19.0,Ikut,Ikut,3.43,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
132.0,MEI PUTRI ANGGRAINI,DIII Kebidanan | Reguler,P,Dekat,SMAN 1 LIMAU,2020.0,19.0,Tidak,Ikut,3.17,Wiraswasta,Sedang,1.0,Tidak,Ya,Tidak
133.0,FERTIANA,DIII Kebidanan | Reguler,P,Dekat,SMK N 7 BANDARLAMPUNG,2020.0,19.0,Tidak,Ikut,2.37,Wiraswasta,Tinggi,2.0,Tidak,Ya,Ya
134.0,PUTRI MUSTIKA,DIII Kebidanan | Reguler,P,Dekat,SMK HAMPAR BAYDURI,2020.0,19.0,Tidak,Ikut,3.63,Wiraswasta,Tinggi,1.0,Tidak,Tidak,Tidak
135.0,ANGGIE APRILIA PUTRI,Manajemen | Reguler,P,Jauh,SMA NEGERI 1 MUARADUA,2020.0,19.0,Tidak,Ikut,3.07,Wiraswasta,Rendah,2.0,Tidak,Tidak,Tidak
136.0,ELITA NUR WULAN,Manajemen | Reguler,P,Jauh,SMA N 1 BUMI AGUNG,2020.0,19.0,Tidak,Ikut,3.46,PNS,Tinggi,3.0,Tidak,Tidak,Tidak
137.0,KARIM HIDAYAT,Manajemen | Reguler,L,Dekat,SMAS TMI ROUDLATUL QUR'AN METRO,2020.0,19.0,Tidak,Ikut,3.06,Petani,Sedang,2.0,Tidak,Tidak,Ya
138.0,FARID HAMBALI,Manajemen | Reguler,L,Dekat,MAN 1 PESAWARAN,2020.0,19.0,Tidak,Ikut,3.48,Petani,Rendah,3.0,Tidak,Tidak,Tidak
139.0,AQILAH SALAMAH,Manajemen | Reguler,P,Jauh,SMA NEGERI 1 BLAMBANGAN UMPU,2020.0,19.0,Tidak,Ikut,3.21,Petani,Tinggi,2.0,Tidak,Ya,Ya
140.0,MARCELLA SILVIANA PUTRI,Manajemen | Reguler,P,Dekat,SMAN 1 KOTAAGUNG,2020.0,19.0,Tidak,Ikut,3.68,Petani,Rendah,3.0,Terima,Ya,Tidak
141.0,HESTRI SETYANINGRUM,Manajemen | Reguler,P,Dekat,SMA N 2 PADANG CERMIN,2020.0,19.0,Tidak,Ikut,3.39,Wiraswasta,Tinggi,2.0,Tidak,Tidak,Ya
142.0,WINSI. AB,Manajemen | Reguler,P,Dekat,SMA N 1 ULU BELU,2020.0,19.0,Tidak,Ikut,3.53,Wiraswasta,Sedang,1.0,Tidak,Ya,Ya
143.0,DWI PUTRI PRABAWATI,Manajemen | Reguler,P,Dekat,SMAN 1 TALANGPADANG,2020.0,19.0,Tidak,Ikut,3.78,Wiraswasta,Tinggi,1.0,Tidak,Ya,Tidak
144.0,EVA PUTRI MAYASARI,Manajemen | Reguler,P,Jauh,SMA N 1 WAY TENONG,2020.0,19.0,Tidak,Ikut,3.19,PNS,Sedang,3.0,Tidak,Ya,Tidak
145.0,LAELLY MIFTAHUL HUDA,Manajemen | Reguler,P,Dekat,SMA NEGERI 1 GEDONG TATAAN,2020.0,19.0,Tidak,Ikut,3.51,PNS,Sedang,2.0,Tidak,Tidak,Ya
146.0,NUR LAILA FATMAWATI,Manajemen | Reguler,P,Dekat,SMK YP 96 BUKIT KEMUNING,2020.0,19.0,Tidak,Ikut,2.8,PNS,Sedang,2.0,Tidak,Tidak,Tidak
147.0,DWI VITA SARI,Manajemen | Reguler,P,Dekat,SMK NEGERI 7 BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,3.25,PNS,Tinggi,2.0,Tidak,Tidak,Ya
148.0,DIAN NITA PRATIWI,Manajemen | Reguler,P,Jauh,SMA N 1 SUNGKAI UTARA,2020.0,19.0,Tidak,Ikut,3.4,PNS,Tinggi,2.0,Tidak,Tidak,Ya
149.0,FEBRIANA YURESA,Manajemen | Reguler,P,Dekat,SMAN 1 CUKUH BALAK,2020.0,19.0,Tidak,Ikut,3.6,PNS,Tinggi,2.0,Tidak,Ya,Tidak
150.0,MITRA INDAH LESTARI,Manajemen | Reguler,P,Jauh,SEKOLAH MENENGAH KEJURUAN,2020.0,19.0,Tidak,Ikut,3.32,PNS,Tinggi,1.0,Tidak,Tidak,Tidak
151.0,OKTA SILVIA,Manajemen | Reguler,P,Dekat,MAN 1 PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.51,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
152.0,SITI ROHMASARI,Manajemen | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020.0,19.0,Tidak,Ikut,3.39,Wiraswasta,Sedang,2.0,Tidak,Ya,Ya
153.0,RISCHI WULANDARI,Manajemen | Reguler,P,Dekat,SMAN 1 BANYUMAS,2020.0,19.0,Tidak,Ikut,3.75,Wiraswasta,Rendah,4.0,Terima,Ya,Ya
154.0,SOLEHA,Manajemen | Reguler,P,Dekat,SMA NEGERI 1 WAY TENONG,2020.0,19.0,Tidak,Ikut,3.43,Wiraswasta,Rendah,3.0,Tidak,Ya,Ya
155.0,RINGGIT FATMAWATI,Manajemen | Reguler,P,Jauh,SMA N 1 PARDASUKA,2020.0,19.0,Tidak,Ikut,3.39,Karyawan Swasta,Sedang,3.0,Tidak,Ya,Tidak
156.0,LUVDIANTRI NON TARISA,Manajemen | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020.0,19.0,Tidak,Ikut,3.07,Karyawan Swasta,Rendah,3.0,Tidak,Tidak,Ya
157.0,FAJAR AYU ASMORO,Manajemen | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020.0,19.0,Tidak,Ikut,3.41,Pedagang,Tinggi,3.0,Tidak,Tidak,Tidak
158.0,UMI LAILATUN NAJA,Manajemen | Reguler,P,Jauh,SMA NEGERI 1 MUARADUA,2020.0,19.0,Ikut,Ikut,3.15,Petani,Rendah,3.0,Tidak,Tidak,Ya
159.0,EVILIYA NUR'AINI,Manajemen | Reguler,P,Jauh,SMA N 1 KIBANG,2020.0,19.0,Tidak,Ikut,3.11,Petani,Rendah,3.0,Tidak,Ya,Tidak
160.0,SYAHRUL RHOMADONI,Manajemen | Reguler,L,Dekat,SMK BUMI NUSANTARA,2020.0,19.0,Ikut,Ikut,3.06,Petani,Sedang,3.0,Tidak,Ya,Tidak
161.0,ZELLIA DINI MEISYA,Manajemen | Reguler,P,Jauh,SMA N 1 KOTA AGUNG,2020.0,19.0,Tidak,Ikut,2.6,Petani,Rendah,3.0,Tidak,Ya,Ya
162.0,FRICILLA AMELIA PUTRI,Manajemen | Reguler,P,Dekat,SMK HAMPAR BAIDURI,2020.0,19.0,Tidak,Ikut,3.56,Wiraswasta,Tinggi,1.0,Tidak,Tidak,Ya
163.0,AGIL DIAH PEBRIAN,Manajemen | Reguler,L,Dekat,SMA NEGRI 1 AMBARAWA,2020.0,19.0,Tidak,Ikut,3.29,Wiraswasta,Rendah,2.0,Tidak,Tidak,Tidak
164.0,ROSITA DEWI,Manajemen | Reguler,P,Jauh,MAN 3 PALEMBANG,2020.0,19.0,Tidak,Ikut,3.26,Buruh,Rendah,2.0,Tidak,Ya,Ya
165.0,FERA YUNIDA,Manajemen | Reguler,P,Jauh,SMAN 1 TUMUJAJAR,2020.0,19.0,Tidak,Ikut,3.46,PNS,Sedang,2.0,Tidak,Tidak,Ya
166.0,FAJAR KHOERUL ANNAM,Manajemen | Reguler,L,Jauh,SMK NEGERI 2 METRO,2020.0,19.0,Tidak,Ikut,3.48,Wiraswasta,Rendah,2.0,Tidak,Tidak,Tidak
167.0,AGIL ADI DARMAWAN,Manajemen | Reguler,L,Dekat,SMK AL QOLAM KOTA AGUNG,2020.0,19.0,Tidak,Tidak,1.64,Wiraswasta,Sedang,1.0,Tidak,Tidak,Ya
168.0,NURUL KAUNAIN,Manajemen | Reguler,P,Dekat,SMAN 15 BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,3.43,PNS,Sedang,2.0,Tidak,Ya,Ya
169.0,NAILIL AMALIA,Manajemen | Reguler,P,Dekat,SMAN 01 PARDASUKA,2020.0,19.0,Tidak,Ikut,3.42,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
170.0,DESI HELEN SAPUTRI,Manajemen | Reguler,P,Dekat,SMA N 01 AIR NANINGAN,2020.0,19.0,Tidak,Ikut,3.24,Wiraswasta,Rendah,1.0,Tidak,Ya,Ya
171.0,HANIFAH ROHANA,Manajemen | Reguler,P,Dekat,SMAN 1 SUKOHARJO,2020.0,19.0,Tidak,Ikut,3.42,PNS,Tinggi,2.0,Tidak,Tidak,Tidak
172.0,ADELA INTAN ROSIYANI,Manajemen | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020.0,19.0,Tidak,Ikut,3.89,PNS,Tinggi,1.0,Tidak,Ya,Tidak
173.0,KRISNA PANGESTU,Manajemen | Reguler,L,Dekat,SMK MUHAMMADIYAH 3 METRO,2020.0,19.0,Tidak,Ikut,3.89,Petani,Rendah,2.0,Terima,Tidak,Tidak
174.0,NIA NURUL FAUZIA,Manajemen | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020.0,19.0,Tidak,Ikut,3.79,Petani,Rendah,3.0,Terima,Tidak,Tidak
175.0,SABRINA CIPTA RAVELIA,Manajemen | Reguler,P,Dekat,MAN 1 METRO,2020.0,19.0,Tidak,Ikut,3.79,Petani,Tinggi,2.0,Tidak,Ya,Ya
176.0,MAGHFIROTUL HASANAH,Manajemen | Reguler,P,Dekat,SMK KH.GHALIB PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.68,Petani,Rendah,3.0,Terima,Tidak,Ya
177.0,JAJULI MA'RUF,Manajemen | Reguler,L,Dekat,SMA MUHAMMADIYA 01 PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.68,Karyawan Swasta,Tinggi,2.0,Tidak,Tidak,Ya
178.0,NAUVAL ALI AHMAD,Manajemen | Reguler,L,Dekat,SMA NEGERI 1 ADILUWIH,2020.0,19.0,Tidak,Ikut,3.47,Karyawan Swasta,Tinggi,3.0,Tidak,Tidak,Tidak
179.0,SHAKYRA PUTRI AUFA RAVIQI,Manajemen | Reguler,P,Dekat,MA AL-MIZAN,2020.0,19.0,Tidak,Ikut,3.58,Karyawan Swasta,Tinggi,2.0,Tidak,Tidak,Ya
180.0,SYAHDIRA MEISYA,Manajemen | Reguler,P,Dekat,SMA SYUBBANUL WATHON,2020.0,19.0,Tidak,Ikut,3.53,Petani,Tinggi,1.0,Tidak,Ya,Ya
181.0,MUHAMAD FAIZUL MUZAQIH,Manajemen | Reguler,L,Dekat,SMK KH GHOLIB PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.1,PNS,Tinggi,1.0,Tidak,Ya,Ya
182.0,ALIF KURNIA ADI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Dekat,SMA MUHAMMADIYAH PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.84,Wiraswasta,Sedang,3.0,Tidak,Ya,Tidak
183.0,NATASYA DIAN SALSABILA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMK KH.GHALIB PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.53,Wiraswasta,Sedang,2.0,Tidak,Ya,Tidak
184.0,ANNISA INDAH WARDANA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SUPM N KOTA AGUNG,2020.0,19.0,Tidak,Ikut,3.68,Petani,Tinggi,2.0,Tidak,Ya,Ya
185.0,SUFYAN ALDI SAPUTRA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Dekat,SMAN 1 TALANGPADANG,2020.0,19.0,Tidak,Ikut,3.42,Karyawan Swasta,Rendah,2.0,Tidak,Tidak,Tidak
186.0,RIZALDI IKHSANU PRATAMA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Dekat,SMK YASMIDA AMBARAWA,2020.0,19.0,Ikut,Ikut,3.89,Petani,Rendah,2.0,Tidak,Ya,Tidak
187.0,AGUNG ANUGRAH,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Jauh,MAN 1 PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.45,PNS,Tinggi,2.0,Tidak,Tidak,Tidak
188.0,LAILA MAULIDA MARUF,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMK KESEHATAN MITRA BANGSA,2020.0,19.0,Ikut,Ikut,3.42,Petani,Rendah,1.0,Tidak,Tidak,Tidak
189.0,YESI HARDAYANTI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA NEGERI 1 BANYUMAS,2020.0,19.0,Tidak,Ikut,3.74,PNS,Tinggi,2.0,Tidak,Ya,Ya
190.0,MEILANI AYUDIASTUTI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMK YADIKA PAGELARAN,2020.0,19.0,Tidak,Ikut,3.58,PNS,Tinggi,2.0,Tidak,Ya,Tidak
191.0,WALYYUDDIN M. YAHYA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Jauh,SMAN 1 CANDIPURO,2020.0,19.0,Tidak,Ikut,3.68,PNS,Tinggi,4.0,Tidak,Ya,Tidak
192.0,TIARA MONICA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,MADRASAH ALIYAH NEGERI 1 OGAN KOMERING ULU SELATAN,2020.0,19.0,Tidak,Ikut,3.63,PNS,Tinggi,3.0,Tidak,Ya,Tidak
193.0,ELZA KHARISMA SAPUTRI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMK KESEHATAN HAMPAR BAIDURI KALIANDA,2020.0,19.0,Tidak,Ikut,3.89,Karyawan Swasta,Tinggi,3.0,Tidak,Tidak,Tidak
194.0,MITA ISMIATI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMK HAMPAR BAIDURI,2020.0,19.0,Tidak,Ikut,3.68,Wiraswasta,Sedang,3.0,Tidak,Ya,Ya
195.0,FIRDA NUR ASFIA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA NEGERI 2 KOTA AGUNG,2020.0,19.0,Tidak,Ikut,3.79,Wiraswasta,Rendah,3.0,Tidak,Tidak,Tidak
196.0,MELDIANA LESTARI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA 1 KEDONDONG,2020.0,19.0,Tidak,Ikut,3.29,PNS,Tinggi,3.0,Tidak,Ya,Tidak
197.0,UMI ZULAYKHA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA NEGERI 01 PRINGSEWU,2020.0,19.0,Tidak,Tidak,3.38,Wiraswasta,Sedang,3.0,Tidak,Tidak,Ya
198.0,ZAKIYAH FAUZIAH,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA NEGERI 1 KEDONDONG,2020.0,19.0,Tidak,Ikut,3.57,PNS,Tinggi,3.0,Tidak,Tidak,Tidak
199.0,MAR'ATUS SHOLEHA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA XAVERIUS PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.62,Petani,Rendah,3.0,Terima,Tidak,Tidak
200.0,KURNIA SURYANINGSIH,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMAN 1 BANGUNREJO,2020.0,19.0,Tidak,Ikut,3.35,Petani,Rendah,1.0,Tidak,Tidak,Ya
201.0,DIAH PERMATA KHOIRUNISA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMAN 1 BARADATU,2020.0,19.0,Tidak,Ikut,3.57,Petani,Rendah,2.0,Tidak,Tidak,Ya
202.0,RETNO NAWANG WULAN,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMAN 1 GEDONG TATAAN,2020.0,19.0,Tidak,Ikut,3.33,Petani,Sedang,2.0,Tidak,Ya,Tidak
203.0,HERMALIA PUTRI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMA NEGERI 2 KOTABUMI ,2020.0,19.0,Tidak,Ikut,3.48,Wiraswasta,Sedang,2.0,Tidak,Tidak,Ya
204.0,VIARDO VARERA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Dekat,MA MA'ARIF KEPUTRAN,2020.0,19.0,Tidak,Ikut,3.63,Petani,Rendah,3.0,Terima,Ya,Ya
205.0,RIZKI APRIAN SAPUTRA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Dekat,SMA N 2 KOTAAGUNG,2020.0,19.0,Tidak,Ikut,3.86,Petani,Rendah,1.0,Terima,Ya,Tidak
206.0,WAHIDA MARLINA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMAN 1 MENGGALA,2020.0,19.0,Tidak,Ikut,2.5,Wiraswasta,Rendah,2.0,Tidak,Tidak,Ya
207.0,SEPTANIA SHIFA MELANI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA N 2 PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.51,Wiraswasta,Sedang,2.0,Tidak,Ya,Tidak
208.0,OKTARINI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA MUHAMMADIYAH GISTING,2020.0,19.0,Tidak,Ikut,3.44,Pensiunan,Sedang,1.0,Tidak,Tidak,Tidak
209.0,HUMAIRA NOPRIANTI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMAN 1 PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.33,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
210.0,POPY NADILA PUTRI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA NEGERI 1 RUMBIA,2020.0,19.0,Tidak,Ikut,3.13,Wiraswasta,Tinggi,1.0,Tidak,Tidak,Tidak
211.0,JUWITA MUSRI'AH,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMAN 1 KRUI,2020.0,19.0,Tidak,Ikut,3.29,Karyawan Swasta,Sedang,2.0,Tidak,Ya,Tidak
212.0,LORIZA ELVA MEYLIA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMAN 1 TALANGPADANG,2020.0,19.0,Tidak,Ikut,3.35,Karyawan Swasta,Tinggi,3.0,Tidak,Tidak,Ya
213.0,DENI FIRMANSYAH,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Jauh,SMA NEGERI 4 KOTA TANGERANG,2020.0,19.0,Tidak,Ikut,3.56,PNS,Tinggi,2.0,Tidak,Tidak,Ya
214.0,LAILATUL KHASANAH,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMK FARMASI KESUMA BANGSA BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,3.3,Wiraswasta,Tinggi,3.0,Tidak,Tidak,Tidak
215.0,NOVA TRIYANA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA N2 PRINGSEWU,2020.0,19.0,Tidak,Ikut,2.89,Petani,Sedang,2.0,Tidak,Ya,Ya
216.0,GANES EGA PRATIWI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMK N 2 METRO,2020.0,19.0,Tidak,Ikut,2.82,PNS,Tinggi,3.0,Tidak,Tidak,Ya
217.0,FARHAN IQBAL WIRAYUDA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Dekat,SMA N 2 PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.79,Buruh,Sedang,3.0,Terima,Ya,Ya
218.0,RAHMA SAFITRI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,PONDOK PESANTREN MA AL FATAH NATAR,2020.0,19.0,Tidak,Ikut,2.65,Pedagang,Sedang,1.0,Tidak,Ya,Tidak
219.0,DINASTI ANGGRAINI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA NEGERI 01 PAGELARAN,2020.0,19.0,Tidak,Ikut,3.43,Pensiunan,Sedang,1.0,Tidak,Ya,Tidak
220.0,DELLA SYNTA SARI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMA N 1 SEKINCAU,2020.0,19.0,Tidak,Ikut,3.32,Wiraswasta,Tinggi,3.0,Tidak,Ya,Ya
221.0,ANANDA AMALIA AFRA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA N 1 TALANG PADANG,2020.0,19.0,Tidak,Ikut,3.59,PNS,Tinggi,2.0,Tidak,Ya,Ya
222.0,RIDHO CAHYADI PUTRA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,L,Dekat,SMAN 2 GADINGREJO,2020.0,19.0,Tidak,Ikut,3.45,PNS,Tinggi,2.0,Tidak,Tidak,Tidak
223.0,INDAH FEBRIYANTI UTAMI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA N 1 AMBARAWA,2020.0,19.0,Tidak,Ikut,3.3,PNS,Tinggi,2.0,Tidak,Ya,Ya
224.0,NABILA AULIA SYFA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA N 1 GADING REJO,2020.0,19.0,Tidak,Ikut,3.76,PNS,Tinggi,2.0,Tidak,Ya,Tidak
225.0,ARDILA MARDHATILA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA PERINTIS 2 BANDAR LAMPUNG,2020.0,19.0,Tidak,Tidak,3.7,PNS,Tinggi,2.0,Tidak,Tidak,Ya
226.0,STINIMATUL KHOIRIYAH,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMA PERINTIS 2 BANDAR LAMPUNG,2020.0,19.0,Tidak,Ikut,3.6,PNS,Tinggi,1.0,Tidak,Tidak,Tidak
227.0,WINDI AFRIYANTI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Dekat,SMAN 1 PAGELARAN,2020.0,19.0,Tidak,Ikut,3.6,PNS,Tinggi,2.0,Tidak,Tidak,Ya
228.0,CINDY PUSPITA SARI,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMA N 1 BUKIT KEMUNING,2020.0,19.0,Tidak,Ikut,3.8,PNS,Tinggi,2.0,Tidak,Ya,Ya
229.0,FETIA ELFATIANA,Pendidikan Bahasa dan Sastra Indonesia | Reguler,P,Jauh,SMAN 1 TANJUNG RAJA,2020.0,19.0,Tidak,Ikut,3.7,Wiraswasta,Sedang,4.0,Terima,Ya,Tidak
230.0,ANGGUN RAHMA TIRTA KUSUMA,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMAN 1 BANJAR AGUNG,2020.0,19.0,Tidak,Ikut,3.6,Wiraswasta,Tinggi,3.0,Tidak,Ya,Ya
231.0,FIRDA ADELIA PUTRI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA NEGRI 1 PRINGSEWU,2020.0,19.0,Tidak,Ikut,3.6,Petani,Sedang,3.0,Tidak,Tidak,Ya
232.0,RANTINI AMALIA,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMK MUHAMMADIYAH BELITANG,2020.0,19.0,Tidak,Ikut,3.3,Wirausaha,Sedang,3.0,Tidak,Tidak,Tidak
233.0,DEWI NURHASANAH,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA NEGERI 1 AMBARAWA,2020.0,19.0,Tidak,Ikut,3.8,Sudah Meninggal,Rendah,3.0,Terima,Ya,Tidak
234.0,YUNITA SARI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMK MUHAMMADIYAH METRO,2020.0,19.0,Tidak,Ikut,3.37,Pensiunan,Sedang,3.0,Tidak,Tidak,Ya
235.0,ISWAHYUDI,Pendidikan Bahasa Inggris | Reguler,L,Dekat,MA MAARIF 5,2020.0,19.0,Tidak,Ikut,3.8,Sudah Meninggal,Rendah,3.0,Terima,Ya,Ya
236.0,ICHA TIARA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMAN 1 PADANG CERMIN,2020.0,19.0,Tidak,Ikut,3.7,Petani,Rendah,3.0,Terima,Tidak,Ya
237.0,INTAN PUSPITA SARI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMAN 2 GEDONG TATAAN,2020.0,19.0,Tidak,Ikut,3.7,Wiraswasta,Tinggi,3.0,Tidak,Ya,Ya
238.0,M. JULIAN AL DZAKY,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMA NEGERI 2 KOTABUMI ,2020.0,19.0,Tidak,Ikut,3.3,Petani,Rendah,1.0,Tidak,Ya,Tidak
239.0,FAHMI RAHMAN FIRDAUS,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMAN 1 TANJUNG RAJA,2020.0,19.0,Tidak,Ikut,3.5,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
240.0,EVITA PUTRI ASARI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMAN 1 TANJUNG RAJA,2020.0,19.0,Tidak,Ikut,3.8,Wiraswasta,Sedang,3.0,Terima,Ya,Ya
241.0,FADILLAH PRABANDARI,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMA NEGERI 2 KOTABUMI ,2020.0,19.0,Tidak,Ikut,3.5,PNS,Rendah,2.0,Tidak,Ya,Ya
242.0,REZA FAHLEVI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMAN 1 TUMUJAJAR,2020.0,19.0,Tidak,Ikut,3.5,Pensiunan,Tinggi,2.0,Tidak,Ya,Tidak
243.0,PUTRI DEVASARI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMA NEGERI 2 KOTABUMI ,2020.0,19.0,Tidak,Ikut,3.7,Petani,Tinggi,1.0,Tidak,Tidak,Ya
244.0,MUHAMMAD SHOHIBUL A'LAM,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMA NEGERI 2 KOTABUMI ,2020.0,19.0,Tidak,Ikut,3.7,Wiraswasta,Sedang,2.0,Tidak,Tidak,Tidak
